Biceps_X,Biceps_Y,Biceps_Z
-37.38,-17.87,150.75
18.62,-7.63,181.13
-22.87,-27.31,150.69
-34.94,-28.25,141.44
80.31,10.25,148.13
-44.44,-4.56,112.87
32.0,-3.63,89.5
-42.69,4.13,108.25
3.25,-23.62,180.88
2.63,-22.69,129.94
2.06,-23.25,125.87
-16.06,-28.37,150.06
12.94,-12.88,184.13
-27.69,-30.81,144.75
20.31,-1.44,81.0
83.56,-16.19,153.94
-32.31,-26.19,145.56
-20.37,16.44,90.37
65.94,-19.44,158.69
44.19,-21.12,161.06
39.63,-3.63,95.12
-22.81,-29.75,150.25
6.38,-26.94,193.88
-29.75,-17.44,145.44
-1.25,-16.5,95.31
57.13,-4.06,99.06
81.31,10.31,144.56
39.94,-4.69,95.69
-34.13,-23.37,149.19
-3.19,-34.88,152.88
6.63,-28.69,188.81
1.06,3.44,86.12
-34.94,7.0,102.44
10.63,-29.56,195.5
51.75,-3.44,92.75
-25.81,-26.44,149.81
1.81,-18.56,121.06
5.81,-29.31,168.31
79.56,17.31,158.94
78.25,8.38,157.38
32.69,3.31,95.44
8.88,-33.25,193.94
84.12,-15.94,153.25
3.38,-19.19,124.25
45.94,-27.5,163.88
4.88,-30.31,166.75
63.75,17.5,169.25
73.44,6.75,115.25
-46.13,2.69,106.87
-32.94,-15.63,150.81
57.0,-5.63,104.31
0.88,-16.94,97.56
65.19,-18.56,159.63
78.87,-15.88,159.75
4.19,-22.56,135.0
79.44,7.44,133.81
93.12,-9.56,144.06
-1.56,-14.31,93.94
-9.19,-31.62,175.06
10.63,-29.06,197.56
-33.5,-24.5,159.63
68.94,11.56,167.94
-12.06,-20.31,150.13
-46.5,2.06,106.19
7.06,-31.56,168.81
1.31,-24.56,131.44
4.31,-18.0,119.37
-9.06,-0.12,89.5
5.63,-24.12,180.38
12.19,-28.94,198.63
56.13,-23.56,163.88
-36.19,-22.0,139.81
81.0,-16.44,158.0
4.13,-29.62,161.56
-63.44,-4.0,123.94
-14.31,-31.5,175.69
55.19,-21.06,157.13
1.12,-27.62,147.63
5.69,-25.81,191.25
-29.44,-20.56,157.13
3.69,5.81,89.5
-47.94,14.56,108.37
-32.44,-26.0,148.38
3.56,-27.81,158.75
-5.44,23.25,91.69
-39.13,11.31,100.75
-63.75,-2.25,118.62
9.06,-33.69,180.31
-37.75,-21.5,142.63
8.88,-29.44,194.19
-0.63,-16.62,95.12
78.62,-16.44,159.0
-62.44,-1.94,123.06
5.94,2.19,86.19
-62.75,-6.13,128.31
1.81,-23.06,127.44
3.88,-30.19,149.38
9.44,-28.25,188.63
73.87,-17.75,155.25
0.31,-8.25,97.75
1.5,-22.62,121.25
-37.25,-25.44,143.75
65.0,-4.63,109.31
-4.44,-18.87,156.75
2.31,-24.94,130.38
-62.38,-4.31,121.19
50.38,10.13,180.0
10.75,-29.31,196.06
78.56,5.06,127.25
50.0,9.31,189.06
-28.25,-27.31,150.25
9.44,-24.5,156.13
4.56,-22.69,158.81
-27.31,0.06,94.81
71.87,5.38,138.0
32.69,-0.56,90.44
12.63,13.06,89.44
4.81,-25.12,139.56
-32.0,-16.94,144.25
72.62,-18.75,161.56
-60.25,-7.88,128.06
0.37,4.81,84.06
3.88,-19.44,118.69
0.06,-22.25,119.25
2.88,-23.25,178.56
50.38,-2.13,94.81
8.38,-29.75,193.56
72.62,1.0,112.87
2.06,-16.87,106.75
4.44,-27.44,139.56
12.81,-31.37,198.13
4.63,-16.31,101.94
-41.06,1.19,110.87
-37.38,-21.06,139.31
0.25,-16.31,102.12
6.25,-28.12,173.31
65.81,-16.81,163.81
82.56,-18.37,147.13
-51.19,-10.06,127.44
-0.81,-14.38,88.62
-23.94,0.12,93.06
9.63,-27.37,196.81
6.38,-10.63,91.12
0.94,-13.75,102.69
11.69,-29.87,158.5
57.31,-7.19,92.44
11.06,-28.81,196.81
84.5,-13.38,178.19
6.5,-29.25,164.0
62.0,16.5,179.38
6.19,-31.06,174.44
11.81,-30.0,198.38
40.0,-0.56,191.5
-0.44,-20.5,112.31
-2.44,-21.31,171.13
65.12,0.0,105.37
3.5,-18.81,123.0
0.75,-14.44,85.5
53.0,-20.75,156.25
-17.81,-26.87,153.69
77.56,15.06,155.69
-27.37,-26.69,147.13
40.5,-23.81,163.0
74.62,8.94,151.88
0.75,-32.81,158.88
-4.5,-19.62,166.88
3.25,-12.0,89.75
68.56,-0.31,115.0
-37.63,-22.5,147.56
0.63,-16.25,102.69
-40.94,-10.25,126.37
12.13,-12.5,180.25
3.31,-27.0,178.31
7.0,-31.62,196.63
8.81,-25.75,193.31
-56.25,-11.5,134.06
22.12,-27.62,161.38
66.75,-16.94,155.81
-47.94,-10.5,131.06
-23.75,12.81,90.94
84.37,-16.31,147.88
78.0,4.19,127.75
-31.37,-25.31,148.19
4.31,-24.44,155.69
48.94,-20.5,157.31
44.13,10.19,187.69
35.75,-3.13,188.56
80.62,11.5,156.13
-42.81,-15.69,133.81
0.37,-22.37,121.12
32.56,-26.87,162.13
8.94,2.31,78.56
43.25,0.0,100.56
73.81,0.63,113.31
1.81,-12.88,104.06
1.19,-26.69,128.5
-55.63,-12.63,129.63
74.5,-18.44,166.94
53.0,21.69,169.94
49.13,-21.06,159.06
11.63,-28.44,191.94
-42.13,-18.94,140.13
-7.5,-26.37,171.06
3.19,-24.69,173.0
-59.63,-6.19,125.0
63.75,-1.37,107.87
6.06,-25.81,179.94
7.88,-29.75,191.06
73.87,13.56,164.69
-17.62,-19.56,170.88
75.06,-18.25,166.5
-3.13,-24.81,175.44
7.06,-29.87,178.44
2.5,-12.44,95.25
-5.88,-20.69,152.13
3.94,-21.44,173.56
-40.63,4.81,108.37
44.88,-25.94,162.19
4.44,-35.63,160.88
51.69,-2.06,89.56
8.19,-29.62,192.0
-2.5,-32.38,152.94
47.69,4.25,191.56
-47.94,-2.75,112.37
-61.06,-7.75,129.06
3.13,-34.88,154.25
-63.44,-3.63,124.69
-34.0,-27.62,149.56
-35.13,-18.69,139.0
67.81,-0.44,107.37
54.44,-7.44,91.31
8.5,-31.56,192.75
-68.37,0.94,118.75
1.5,-25.06,144.13
-52.13,-13.31,130.06
45.75,6.19,174.25
9.06,-28.56,186.81
65.12,-16.5,161.0
80.69,9.13,145.5
-0.12,-10.25,92.25
13.44,-33.31,196.69
18.06,-12.13,169.63
-42.38,-25.75,140.56
23.5,-6.38,173.81
-47.06,-11.19,122.5
1.31,-20.56,125.62
-36.19,-18.06,138.38
-47.44,-15.5,135.31
2.0,-33.81,161.38
-28.62,-23.44,151.25
6.31,-28.56,147.69
1.88,-14.0,97.87
2.63,-22.5,116.75
7.0,-26.94,187.88
37.69,-19.06,167.44
86.44,-17.44,147.25
-61.56,-6.44,120.12
54.25,10.63,172.0
-41.94,-12.56,137.69
79.44,13.06,129.31
-41.44,0.94,106.56
3.81,-21.62,125.69
-16.69,-26.25,155.13
-43.06,3.06,103.87
15.56,-33.88,195.13
75.06,7.25,121.81
3.13,-14.94,88.06
-44.31,-9.25,120.37
69.19,13.44,159.63
7.5,-28.12,194.63
8.69,-27.56,192.06
-19.87,-23.81,163.56
2.06,-23.69,151.06
7.19,-26.5,156.13
-0.25,-19.19,122.81
2.31,-18.31,99.75
1.75,-30.75,156.0
-0.37,-20.0,126.56
1.94,5.94,87.62
6.5,-25.81,135.31
1.75,-18.75,123.31
6.69,-13.69,179.69
85.44,-16.62,148.31
61.0,-17.62,158.63
11.56,-31.81,155.63
-36.88,11.69,99.12
50.94,5.06,164.44
-1.25,-19.0,109.19
-25.56,-25.37,166.56
88.0,-15.25,152.5
-44.94,-21.0,140.63
1.37,-24.19,142.25
-16.75,-29.69,155.31
8.19,-29.69,198.19
-40.0,-27.06,142.63
54.31,-24.31,161.88
2.75,-11.75,85.75
9.56,-30.19,179.81
-51.25,-4.94,118.5
78.19,3.63,122.44
22.94,-7.5,180.63
-19.75,10.75,91.81
7.06,-25.44,168.44
3.75,-29.44,155.5
4.25,-16.62,112.75
3.31,-11.5,89.25
3.31,-28.37,191.56
58.88,0.06,101.0
17.56,-3.06,84.69
-19.37,-25.06,167.25
3.44,-11.88,89.19
16.19,-6.06,178.94
-43.19,-24.81,141.0
-19.94,-27.0,156.25
50.0,12.94,180.56
-42.94,5.38,105.87
64.94,7.06,173.63
-31.81,-23.62,154.25
79.25,-16.94,156.13
-18.5,-21.37,168.38
80.56,6.69,139.13
1.25,-12.38,88.06
9.5,-29.81,187.44
-35.38,-26.87,148.81
2.31,-23.5,143.88
-42.0,-23.5,141.38
-10.44,-32.69,155.38
10.19,-29.75,193.13
-40.38,-11.31,127.81
75.31,-16.44,154.94
11.63,-34.5,195.88
24.19,-33.0,158.69
0.31,-32.19,154.31
2.5,-19.69,107.19
85.0,-13.5,147.19
9.56,-27.44,197.0
33.75,-18.06,157.38
1.81,-21.37,121.94
74.87,-16.5,162.25
54.75,-24.12,163.81
-26.5,5.56,92.25
-53.0,-15.75,136.0
73.0,1.81,124.69
4.81,-2.5,89.25
33.25,-27.0,157.31
3.81,-8.25,97.87
3.75,-14.13,118.56
70.44,-18.5,166.25
-30.12,8.88,97.87
33.56,-24.06,159.63
78.62,9.81,159.13
4.88,-33.5,157.31
10.38,-28.31,197.06
6.0,-26.31,192.81
11.0,-26.19,193.31
0.69,-16.75,97.5
80.25,6.5,137.81
32.81,-30.06,161.69
86.0,-16.06,151.75
59.13,-3.63,105.94
-56.5,-12.0,129.88
16.69,-0.25,79.25
-39.38,-11.44,137.44
-27.56,7.25,93.31
5.56,-23.56,175.81
73.25,6.69,116.06
7.5,-28.94,159.81
69.69,-13.69,155.69
14.38,-23.25,163.81
3.63,-25.5,144.88
-51.31,-4.63,132.56
-37.31,-16.81,147.06
70.31,-16.56,154.25
27.37,-33.81,166.5
6.31,-30.06,188.06
73.5,-15.38,153.25
-32.56,14.19,88.69
-33.13,-23.37,158.56
6.88,-29.37,176.69
-24.69,-24.69,149.94
66.19,-11.5,161.06
3.38,-20.25,154.13
8.19,-24.44,185.94
-40.63,-15.94,135.5
14.06,-31.37,199.13
80.19,14.0,144.63
22.87,-33.75,164.63
25.06,-32.69,158.81
2.44,-22.12,164.31
71.5,7.31,114.19
24.37,-28.75,156.75
4.5,-15.25,100.62
31.87,-1.75,187.0
50.25,-4.94,100.06
2.44,-22.5,151.88
-14.63,-26.44,159.19
37.69,3.0,173.56
-38.13,-18.19,154.06
1.5,-26.87,144.06
6.19,-26.81,193.56
-2.94,13.56,88.25
-10.31,-27.31,155.63
85.12,-19.56,143.25
-3.13,-17.75,97.69
72.19,5.06,139.06
1.75,-28.87,158.06
-8.06,-30.87,180.06
49.5,-4.0,94.62
5.31,-22.87,168.31
1.81,-18.31,119.94
49.19,-6.25,96.94
-67.69,0.25,119.56
21.25,-1.19,89.37
35.5,1.12,91.69
29.94,-24.69,159.44
-48.38,-16.0,137.19
2.31,-15.0,95.31
-44.13,-4.13,124.19
2.63,-17.44,115.44
7.44,-26.69,159.63
25.87,-5.06,84.56
-17.5,-34.19,156.13
12.25,-33.0,194.56
5.38,-26.87,141.5
-40.94,-7.63,117.5
-67.62,-1.0,119.06
29.75,2.31,90.25
1.31,-17.25,113.0
4.63,-27.94,184.44
-0.37,-16.75,93.87
-50.63,-15.19,140.25
3.56,-13.81,87.37
1.19,-21.0,128.88
83.19,11.81,136.13
0.81,-24.62,138.31
-46.25,-20.56,141.0
55.69,11.06,171.69
-48.44,-4.38,120.19
90.19,-12.75,148.38
5.94,-18.06,184.25
-9.31,-30.31,155.75
76.87,10.38,162.25
86.81,-12.56,179.5
7.88,-29.37,170.38
3.94,-29.06,159.25
7.94,-26.87,172.69
2.94,-13.44,102.94
9.31,-31.25,169.81
1.63,-25.56,137.5
-2.13,-22.56,177.69
-53.75,-14.63,131.13
2.0,-20.06,130.56
0.69,-21.25,119.56
-19.25,-28.62,154.31
55.75,22.37,168.63
77.25,3.19,126.75
28.0,-26.62,161.19
68.12,2.69,119.44
54.13,-20.56,159.0
1.25,-14.69,100.44
12.06,5.38,89.5
-2.75,-20.19,166.56
38.81,-28.12,167.38
-53.69,-18.25,133.38
73.25,13.19,159.06
14.31,-14.44,168.94
30.62,6.56,92.31
37.56,-25.37,157.5
49.69,6.56,179.31
-34.75,-17.12,150.25
63.44,1.75,102.19
2.38,-19.87,115.5
5.69,-24.19,165.38
2.13,-22.5,156.19
77.44,-9.13,155.69
31.06,-27.25,162.63
52.19,8.19,177.81
5.56,-26.19,155.81
24.62,-25.75,159.75
23.5,-1.0,88.94
24.06,-8.94,185.44
2.94,-10.44,91.12
6.25,-32.0,192.06
-6.5,-20.62,152.0
63.19,-1.19,93.94
6.56,-30.56,172.25
6.75,-31.62,179.88
-67.31,0.88,114.12
13.19,-32.0,161.19
-49.88,-11.88,125.25
86.25,-14.06,147.94
53.94,14.31,184.63
53.31,-19.69,163.13
-23.44,-28.56,160.63
-37.94,-23.44,146.06
11.81,-30.37,183.81
-24.5,-24.12,154.63
80.12,18.25,146.56
-16.06,-31.37,151.5
5.06,-25.5,183.5
-67.06,-0.25,114.31
28.81,-0.5,182.0
79.5,-13.44,149.63
23.87,-28.56,160.25
1.37,-23.94,136.63
62.56,4.31,107.44
85.31,-14.06,148.5
4.13,-12.94,113.56
2.38,-15.38,102.81
-16.87,-31.31,173.88
-18.81,3.69,90.75
17.94,-31.75,161.88
-1.63,-16.87,102.44
4.81,-28.5,172.06
70.12,21.94,159.44
83.87,-13.31,178.63
-21.75,16.62,90.75
6.13,-30.44,170.5
-38.75,-20.69,144.5
84.31,-13.13,155.44
10.81,-27.5,197.5
57.75,14.44,173.31
77.56,12.5,166.63
-18.5,-31.5,150.88
78.44,8.5,136.25
-65.06,-3.75,125.19
-17.25,-25.5,149.25
10.44,-29.69,194.81
6.63,-26.69,182.81
8.5,-28.62,187.63
3.06,-16.06,115.31
-68.5,-0.25,119.81
11.81,-30.19,196.56
8.31,-26.75,180.88
40.25,-31.37,169.56
-8.81,-32.38,158.13
-59.0,-6.81,125.62
0.0,-21.0,114.0
4.06,-19.94,123.06
62.88,4.81,101.69
-63.19,-5.75,127.75
81.06,9.06,132.38
2.13,-12.94,92.75
35.75,-32.31,168.0
80.31,13.63,157.13
53.75,-20.5,156.19
31.19,-6.0,88.31
-10.88,-32.56,151.13
1.75,-9.13,102.81
-17.94,-28.06,164.56
6.81,-29.87,180.44
84.12,-16.19,153.13
1.75,-27.81,154.13
3.56,9.75,85.69
8.88,-30.56,155.06
14.56,-34.13,185.25
55.44,-23.81,163.81
21.56,-26.62,162.75
3.69,-25.31,176.0
10.75,-23.87,184.63
41.0,0.5,93.44
3.13,-14.94,93.12
77.37,-17.87,159.94
-2.81,-23.06,160.31
76.31,15.63,149.88
5.06,-11.94,179.31
1.19,-22.0,146.0
3.75,-24.81,124.75
-51.06,1.31,111.44
2.13,-13.19,94.56
18.31,-19.25,188.5
71.06,-18.87,162.75
2.69,-23.19,126.94
49.5,1.81,95.87
84.69,-16.44,147.44
5.25,-23.56,161.19
-37.19,-25.87,147.69
-0.19,-9.69,86.87
49.13,-2.5,88.5
10.19,-32.81,179.44
75.81,1.06,117.5
2.75,-17.25,99.12
61.75,17.5,170.5
0.31,-0.25,88.94
1.0,-13.75,83.94
2.63,-22.81,118.06
-31.06,-20.25,161.38
-0.69,-15.88,92.62
22.06,5.88,175.88
-64.94,-2.06,115.75
78.69,11.69,159.25
13.0,-30.62,199.63
6.75,-32.81,178.06
-22.69,7.38,93.31
-43.94,-17.81,141.5
-23.75,-26.0,151.75
2.63,-15.31,102.87
-36.69,14.19,90.75
85.81,-14.19,142.25
7.44,-29.94,189.13
56.56,-3.31,98.0
1.69,-25.94,159.69
-45.38,-18.06,140.44
2.31,-12.75,102.25
81.06,-13.81,148.44
-7.63,-18.06,175.69
4.63,-24.31,178.69
9.0,-28.0,187.94
1.37,10.19,86.69
3.31,-12.31,86.81
84.31,-14.13,148.75
50.69,-4.75,96.62
-10.19,5.13,87.06
-4.94,-26.56,151.75
49.13,-5.31,102.56
-0.31,-31.44,155.19
-28.62,-21.62,142.5
12.44,0.88,85.44
-54.25,-14.44,130.69
14.0,-28.87,160.13
-27.44,-29.31,148.94
9.69,-29.5,190.94
88.0,-15.38,152.44
6.31,-29.94,162.75
4.5,-18.56,108.31
-1.88,-12.13,91.19
9.56,-30.69,193.25
18.25,-8.56,180.38
9.19,-12.56,179.06
5.19,-28.94,172.44
-44.44,-21.06,138.13
5.38,-19.81,176.75
-47.75,-8.5,128.25
-49.44,-15.5,136.44
-22.56,13.5,93.19
29.62,-2.81,90.56
56.69,1.94,100.81
-11.44,-25.81,172.5
6.25,-26.06,195.25
7.19,-25.06,187.63
-41.5,-8.56,129.75
-45.19,-9.38,119.87
-21.25,-29.5,150.69
6.63,-30.31,178.31
43.13,-5.06,93.94
2.5,-23.87,126.75
-56.38,-10.0,127.25
82.94,-15.81,155.25
66.25,17.81,173.88
-8.75,-18.25,175.63
25.81,-8.0,180.38
28.19,-3.75,183.94
80.37,15.38,156.0
9.25,-29.12,189.56
11.38,-32.56,196.19
70.25,3.25,109.94
78.44,4.31,124.81
6.06,-25.69,170.94
86.62,-13.94,147.44
-56.81,-9.44,131.81
68.31,-1.5,107.75
2.94,-17.75,102.56
36.88,-2.06,187.44
-19.56,-29.25,152.63
-53.44,-8.88,137.63
3.75,-23.56,119.87
48.5,-2.0,95.44
8.44,-17.12,184.94
45.06,0.25,94.87
6.13,-31.0,173.06
8.0,-27.87,184.0
4.06,-13.81,87.87
-1.19,-10.25,87.81
7.0,-26.94,187.31
36.31,-21.5,158.06
-1.56,-15.25,96.19
-8.0,-23.37,164.19
-30.81,-24.44,147.88
-65.81,-1.63,121.75
44.81,-0.94,180.06
68.87,-0.19,108.69
6.69,-29.31,165.81
-0.63,-10.69,94.62
-15.06,-28.12,153.13
-56.88,-15.38,130.81
-19.94,-18.81,147.5
4.25,-25.06,170.75
16.19,-13.25,169.31
43.94,-17.25,161.75
2.75,-16.37,97.19
67.87,-1.0,117.06
59.75,-18.06,155.56
12.5,-20.94,156.5
63.19,13.31,172.06
-17.81,-26.5,154.63
86.31,-15.19,154.94
53.5,0.63,97.06
32.75,-24.31,159.25
-14.88,-28.5,150.38
26.94,-6.44,167.5
4.63,-21.87,152.06
-0.12,-24.81,185.63
-3.94,-24.06,173.31
46.13,-0.37,179.88
9.06,-31.44,191.5
7.75,-29.06,169.81
-67.06,0.0,115.19
-44.63,-2.63,116.94
-62.56,-6.44,128.56
7.81,-29.31,158.69
1.94,-28.06,136.13
-46.19,-6.19,115.87
4.75,-20.31,143.5
22.31,-5.63,189.75
0.69,-20.87,135.44
7.44,-15.0,170.69
27.69,-32.19,159.25
80.06,14.63,134.44
13.69,-32.94,195.13
59.0,-20.56,165.56
2.81,-22.75,153.31
31.75,-32.94,167.06
2.19,-28.44,161.81
3.38,-28.56,192.19
2.5,-23.5,135.88
40.94,-23.56,166.88
-39.25,16.69,99.31
-44.0,-13.19,137.88
-46.63,-16.44,139.88
2.88,-27.81,158.63
4.0,-17.44,130.88
-38.88,-24.31,144.0
7.44,2.63,84.5
7.44,-23.44,176.81
-13.88,-21.31,151.56
7.19,-28.44,158.75
33.31,-25.75,163.06
5.88,-27.0,192.0
-41.06,-20.31,139.06
24.75,-28.5,160.44
11.81,-34.81,164.19
9.19,-28.44,196.19
0.0,-33.0,158.63
33.5,-3.06,181.31
2.88,-16.44,107.94
-1.94,8.06,89.31
-5.5,9.19,89.69
67.69,-0.56,110.94
3.69,-23.31,169.25
6.75,-28.75,194.0
3.0,-25.0,137.38
12.0,-32.88,158.44
-2.0,-28.75,183.75
-13.31,-24.06,162.63
-47.06,-16.62,138.81
51.69,-5.69,98.25
-47.56,-2.0,118.19
-7.94,-30.62,169.94
81.06,14.88,153.69
-63.0,-5.06,118.56
-39.13,-17.5,147.44
35.19,-1.31,180.44
1.31,-15.88,105.19
3.56,-27.75,161.63
7.81,6.25,89.12
28.69,-2.63,187.13
-40.56,-19.0,137.13
-40.5,1.81,109.87
-39.31,-24.0,143.19
-6.25,-29.94,157.31
-67.31,-0.12,120.87
38.44,0.81,92.87
74.94,-13.56,153.0
29.0,-31.0,163.0
64.94,-19.12,158.75
2.88,-8.75,87.69
24.06,-25.69,159.31
34.88,-17.81,157.63
-1.12,-19.87,161.13
11.31,-12.06,179.81
38.25,-31.62,168.88
7.75,-31.69,187.56
54.31,-15.0,165.75
2.69,-14.31,95.06
15.25,-12.88,186.25
8.81,-30.19,151.13
63.56,14.94,176.88
82.44,6.5,128.31
68.5,13.25,161.81
60.63,1.0,102.5
7.38,-30.06,182.63
-52.81,-9.19,127.94
9.81,-30.37,181.94
1.88,-27.87,157.94
64.19,-1.69,106.81
