Shoulder_X,Shoulder_Y,Shoulder_Z
-53.5,-28.31,118.0
41.06,-1.5,171.81
6.06,-27.75,185.31
-0.63,-26.31,173.81
-14.88,-9.38,129.19
-40.88,-29.87,141.38
-26.75,-31.31,153.88
3.0,-9.63,128.81
-28.06,-13.13,127.25
42.81,-16.69,164.25
-1.88,-26.69,182.69
32.31,4.5,141.31
-0.81,-22.25,162.88
-23.94,-29.0,150.63
4.75,-10.25,131.44
42.19,-19.62,149.75
-4.63,-22.56,177.13
-1.19,-22.75,174.5
4.75,-27.62,178.75
-9.81,1.81,128.81
2.56,-7.69,121.12
43.13,-18.37,150.44
27.37,9.75,140.63
-9.44,-4.38,126.0
-11.19,-31.75,143.25
33.38,0.06,140.5
-7.31,-29.19,149.75
-29.31,-33.25,136.5
-3.13,6.69,129.63
-45.81,-32.56,136.38
-3.94,-30.44,150.44
-31.69,-34.69,142.94
1.94,-26.75,180.56
44.38,-11.63,168.69
7.0,-19.06,166.81
7.75,-10.19,137.38
-1.37,-7.88,126.62
0.94,-27.87,184.13
11.25,-10.25,179.25
6.63,-18.19,177.63
0.44,-23.69,170.69
-38.88,-34.0,139.56
4.69,-19.94,173.31
-29.25,-27.37,150.13
-44.19,-33.75,123.75
-12.19,-6.81,128.69
15.88,4.75,132.19
36.44,2.25,143.19
-3.5,-24.37,169.5
-1.12,-27.56,186.13
4.44,-25.69,179.19
-15.56,-21.12,146.31
-23.37,-23.56,140.0
-23.75,-32.88,151.81
0.81,-26.31,172.5
22.75,5.13,136.0
6.31,-14.75,147.38
-48.44,-31.12,132.38
40.75,-17.25,165.0
41.19,-5.63,177.38
-5.56,-24.0,178.06
20.31,-11.69,175.75
23.87,-11.94,180.0
36.5,-0.19,170.44
3.06,-25.87,178.94
3.38,-28.19,184.13
33.19,2.5,148.13
36.38,-1.0,153.63
-1.0,-22.44,170.88
43.19,-16.62,149.75
-46.88,-29.69,138.81
32.94,-0.06,143.63
2.88,-7.81,127.25
30.06,-10.19,181.13
-22.94,-29.69,158.44
-42.75,-30.44,144.5
3.31,-13.31,142.31
24.62,5.19,137.19
0.31,-19.62,175.5
29.81,4.75,137.94
1.88,-25.12,172.0
-1.25,-25.81,178.13
5.81,-9.94,123.87
-0.88,-7.5,124.19
0.56,-24.0,178.63
25.37,-21.06,163.31
-0.81,-8.94,129.81
-2.19,-23.06,165.19
-30.94,-32.13,152.38
-53.25,-27.69,125.19
35.5,-8.69,175.75
42.38,-1.06,149.13
4.19,-23.25,166.69
1.56,-10.25,128.88
-20.06,-30.5,156.56
-48.06,-33.75,125.87
-23.81,-26.81,158.69
-1.81,-21.31,167.88
13.06,-13.5,170.63
30.0,-18.44,177.69
3.88,-9.69,128.5
42.69,-2.06,151.94
33.75,-21.31,150.0
1.63,-22.69,174.38
35.69,-4.94,170.06
-23.56,-31.87,153.75
38.81,-15.75,167.5
33.13,2.5,140.38
21.5,-21.94,161.44
-19.62,-31.5,148.69
25.06,-9.06,171.25
6.25,-14.75,160.38
-0.75,-24.87,177.69
-1.37,-22.94,170.81
36.44,-8.5,175.69
-1.63,-28.69,182.25
5.75,-25.12,167.25
-53.69,-27.5,123.06
-28.37,-21.56,140.81
-52.31,-30.06,126.87
-6.44,-28.81,161.06
3.94,-17.56,149.0
-25.5,-22.25,133.81
7.94,-14.25,157.31
15.69,-12.13,181.19
1.31,-16.25,150.06
-0.44,-14.75,167.19
6.63,-29.06,154.31
41.88,3.0,165.69
1.75,-26.94,183.13
32.63,-20.81,168.5
0.25,-16.75,160.75
8.13,-30.19,161.25
-1.31,-23.94,166.19
0.06,-28.44,181.0
6.44,-14.69,152.5
16.94,-23.81,167.56
-26.31,-12.38,129.38
-39.31,-29.5,145.63
-42.25,-29.62,140.63
-5.75,-28.06,159.19
5.0,-12.69,146.5
-35.88,-35.06,143.25
-1.88,2.38,127.37
3.0,-21.19,175.81
-19.94,-27.25,156.94
-1.81,-27.44,160.75
21.81,-23.75,164.44
-1.37,-27.75,183.75
-37.88,-33.5,134.44
14.69,-26.19,160.0
-6.88,-32.69,159.06
-2.31,-26.0,187.25
-12.75,-34.13,157.88
27.62,-11.69,175.75
4.13,-11.13,133.13
-5.5,-1.63,129.31
-7.56,-2.25,129.25
40.38,3.31,149.94
-1.44,-19.69,169.75
-1.69,-28.56,183.63
3.88,-17.19,151.94
2.75,-30.31,156.13
1.0,-24.75,177.56
-14.94,-20.12,161.13
-41.63,-31.5,145.0
26.06,1.63,139.19
-33.63,-16.31,132.5
-2.56,-24.31,170.56
36.69,0.19,169.44
-52.19,-29.5,120.69
-36.13,-30.06,153.38
28.31,-8.94,175.5
1.81,-10.0,132.69
0.12,-23.37,164.19
-3.75,5.88,130.63
17.94,-10.75,176.94
-8.31,-26.75,146.81
-20.12,-17.0,134.63
-19.94,-28.87,153.19
-19.12,-33.69,145.31
-51.88,-26.31,128.81
26.5,5.25,135.25
45.69,-17.69,148.69
7.38,-28.31,158.06
46.06,-19.75,158.69
3.81,-7.69,123.81
14.13,-28.06,149.06
23.56,-19.87,164.81
2.44,-17.81,166.13
8.25,-17.12,177.94
13.75,-29.12,162.38
1.06,-28.69,180.31
